"wage","age","educ","exper","union","female","married","urban"
4.77631568908691,21,10,4,0,0,0,1
8.66250038146973,32,9,16,0,0,0,1
1.92499995231628,30,9,14,0,1,0,1
4.53749990463257,29,6,16,0,1,0,1
6.76875019073486,45,8,30,0,0,1,1
3.875,40,6,27,1,1,1,1
3.875,21,8,6,0,0,0,1
8.39375019073486,54,5,42,0,0,0,1
8.34375,41,5,29,1,0,1,1
5,59,4,48,0,0,1,1
3.75,27,7,13,1,1,0,1
8.125,25,10,8,1,1,0,1
3.75,20,6,7,0,0,0,1
11.25,42,8,27,0,0,1,1
23.5625,22,10,5,0,1,0,1
6.25,21,8,6,0,0,0,1
8.34375,49,5,37,1,0,1,1
7.2554349899292,17,5,5,1,0,0,1
4.53749990463257,23,10,6,0,1,0,1
7.5,29,1,21,0,0,0,1
5.95625019073486,25,4,14,1,1,0,1
3.28749990463257,34,4,23,1,0,0,1
3.78749990463257,29,5,17,1,1,0,1
3.78749990463257,25,8,10,1,1,0,1
3.91249990463257,21,6,8,1,1,0,1
36.2874984741211,37,7,23,0,0,1,1
3.28749990463257,21,10,4,1,0,0,1
0.125,27,6,14,1,0,1,1
4.59375,29,5,17,1,0,1,1
0.787500023841858,33,8,18,0,0,1,1
2.66249990463257,30,6,17,0,1,1,1
4.91249990463257,31,6,18,1,0,0,1
8.34375,32,5,20,1,1,0,1
8.34375,33,6,20,0,0,1,1
8.34375,30,6,17,1,0,1,1
7.84375,41,6,28,1,0,1,1
7.96875,41,6,28,1,1,1,1
7.96875,21,7,7,1,0,0,1
3.28749990463257,49,5,37,0,1,0,1
7.96875,26,5,14,0,1,0,1
7.96875,23,7,9,0,0,0,1
2.03749990463257,43,6,30,1,0,1,1
7.96875,22,5,10,1,1,0,1
7.84375,33,6,20,1,1,0,1
7.84375,39,6,26,1,0,0,1
6.96875,49,4,38,1,0,1,1
7.59375,44,7,30,1,1,0,1
7.71875,23,9,7,1,0,0,1
7.21875,41,7,27,1,0,1,1
7.84375,37,6,24,1,1,1,1
7.84375,27,7,13,1,0,1,1
7.71875,26,6,13,0,0,1,1
7.96875,25,5,13,0,1,1,1
7.66249990463257,29,6,16,0,0,1,1
6.01744174957275,38,8,23,1,0,1,1
7.28658533096313,32,7,18,0,0,0,1
4.875,34,7,20,0,0,0,1
